,GI,TG,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds)
2,1,(1) Ginkgo (Ginkgo biloba)  at 21.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"1,631.4",$37.94,"2,337.8",$268.54,52.4,$660.93,1.0,"34,176.7","4,644.1",$41.50,16.2,1.9,5.2,30.9,2.0,0.3,0.2,0.7
3,2,(1) Ginkgo (Ginkgo biloba)  at 35.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"5,047.8",$117.40,"2,546.3",$292.48,52.4,$660.93,3.4,"91,947.1","12,494.4",$111.65,26.1,1.9,7.4,31.5,3.4,0.3,0.2,0.7
4,3,(1) Ginkgo (Ginkgo biloba)  at 23.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"2,966.9",$69.00,"2,546.3",$292.48,52.4,$660.93,1.4,"63,922.8","8,686.2",$77.62,27.3,1.9,8.6,31.5,3.4,0.3,0.2,1.1
5,4,(1) Ginkgo (Ginkgo biloba)  at 27.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"3,536.0",$82.24,"2,546.3",$292.48,52.4,$660.93,2.0,"74,245.0","10,088.9",$90.15,27.4,1.9,8.3,31.5,3.5,0.3,0.2,0.9
6,5,(1) Ginkgo (Ginkgo biloba)  at 40.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"6,088.6",$141.60,"2,546.3",$292.48,52.4,$660.93,4.5,"99,514.3","13,522.6",$120.84,25.2,1.9,7.0,31.5,3.4,0.3,0.2,0.6
7,6,(1) Ginkgo (Ginkgo biloba)  at 37.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"5,456.0",$126.89,"2,546.3",$292.48,52.4,$660.93,3.8,"95,337.8","12,955.1",$115.77,25.7,1.9,7.2,31.5,3.4,0.3,0.2,0.6
8,7,(1) Ginkgo (Ginkgo biloba)  at 34.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"4,847.8",$112.74,"2,546.3",$292.48,52.4,$660.93,3.2,"90,080.2","12,240.7",$109.38,26.3,1.9,7.5,31.5,3.5,0.3,0.2,0.7
9,8,(1) Ginkgo (Ginkgo biloba)  at 39.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"5,875.1",$136.64,"2,546.3",$292.48,52.4,$660.93,4.3,"98,247.5","13,350.5",$119.30,25.4,1.9,7.0,31.5,3.4,0.3,0.2,0.6
10,9,(1) Ginkgo (Ginkgo biloba)  at 33.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"4,650.6",$108.16,"2,546.3",$292.48,52.4,$660.93,3.0,"88,104.3","11,972.2",$106.98,26.5,1.9,7.6,31.5,3.5,0.3,0.2,0.7
11,10,(1) Ginkgo (Ginkgo biloba)  at 36.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"5,250.5",$122.11,"2,546.3",$292.48,52.4,$660.93,3.6,"93,700.8","12,732.7",$113.78,25.9,1.9,7.3,31.5,3.4,0.3,0.2,0.6
2,1,(1) Ginkgo (Ginkgo biloba)  at 38.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"5,664.2",$131.73,"2,546.3",$292.48,52.4,$660.93,4.0,"96,854.4","13,161.2",$117.61,25.6,1.9,7.1,31.5,3.4,0.3,0.2,0.6
3,2,(1) Ginkgo (Ginkgo biloba)  at 42.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"6,523.4",$151.72,"2,546.3",$292.48,52.4,$660.93,5.0,"101,658.3","13,814.0",$123.44,25.0,1.9,6.8,31.5,3.3,0.3,0.2,0.5
4,3,(1) Ginkgo (Ginkgo biloba)  at 43.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"6,744.7",$156.86,"2,546.3",$292.48,52.4,$660.93,5.3,"102,531.2","13,932.6",$124.50,24.8,1.9,6.8,31.5,3.3,0.3,0.2,0.5
5,4,(1) Ginkgo (Ginkgo biloba)  at 60.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"10,875.7",$252.94,"2,546.3",$292.48,52.4,$660.93,11.1,"105,045.2","14,274.2",$127.55,24.5,1.9,6.6,31.5,3.3,0.3,0.2,0.5
6,5,(1) Ginkgo (Ginkgo biloba)  at 83.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"17,460.5",$406.08,"2,546.3",$292.48,52.4,$660.93,23.6,"105,045.2","14,274.2",$127.55,24.5,1.9,6.6,31.5,3.3,0.3,0.2,0.5
7,6,(1) Ginkgo (Ginkgo biloba)  at 14.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"1,743.5",$40.55,"2,447.5",$281.14,52.4,$660.93,0.6,"31,762.7","4,316.1",$38.57,17.2,1.9,5.7,31.2,2.1,0.3,0.2,0.9
8,7,(1) Ginkgo (Ginkgo biloba)  at 18.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,031.6",$47.25,"2,447.5",$281.14,52.4,$660.93,0.9,"40,412.2","5,491.5",$49.07,20.7,1.9,6.8,31.2,2.5,0.3,0.2,1.0
9,8,(1) Ginkgo (Ginkgo biloba)  at 6.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"8,999.4",$209.30,764.4,$17.78,"1,643.3",$188.76,35.0,$441.16,0.2,"14,283.7","1,941.0",$17.34,7.5,1.3,2.5,20.9,0.9,0.2,0.1,0.4
10,9,(1) Ginkgo (Ginkgo biloba)  at 20.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,148.1",$49.96,"2,447.5",$281.14,52.4,$660.93,1.0,"44,646.2","6,066.8",$54.21,22.1,1.9,7.2,31.2,2.7,0.3,0.2,1.1
11,10,(1) Ginkgo (Ginkgo biloba)  at 10.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"12,593.6",$292.89,"1,275.0",$29.65,"2,301.5",$264.36,48.9,$617.22,0.4,"22,678.1","3,081.6",$27.54,12.4,1.8,4.1,29.2,1.5,0.3,0.2,0.7
2,1,(1) Ginkgo (Ginkgo biloba)  at 12.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"1,528.4",$35.54,"2,447.5",$281.14,52.4,$660.93,0.5,"27,208.0","3,697.2",$33.04,14.9,1.9,5.0,31.2,1.8,0.3,0.2,0.8
3,2,(1) Ginkgo (Ginkgo biloba)  at 16.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"1,912.1",$44.47,"2,447.5",$281.14,52.4,$660.93,0.7,"36,195.4","4,918.5",$43.95,19.1,1.9,6.3,31.2,2.3,0.3,0.2,1.0
4,3,(1) Ginkgo (Ginkgo biloba)  at 30.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"3,253.2",$75.66,"2,447.5",$281.14,52.4,$660.93,2.2,"65,845.1","8,947.4",$79.95,25.5,1.9,7.8,31.2,3.2,0.3,0.2,0.9
5,4,(1) Ginkgo (Ginkgo biloba)  at 24.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,460.2",$57.22,"2,447.5",$281.14,52.4,$660.93,1.4,"53,280.3","7,240.1",$64.70,24.1,1.9,7.7,31.2,3.0,0.3,0.2,1.0
6,5,(1) Ginkgo (Ginkgo biloba)  at 21.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,213.4",$51.48,"2,447.5",$281.14,52.4,$660.93,1.1,"46,791.5","6,358.3",$56.82,22.7,1.9,7.3,31.2,2.8,0.3,0.2,1.1
7,6,(1) Ginkgo (Ginkgo biloba)  at 19.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,088.0",$48.56,"2,447.5",$281.14,52.4,$660.93,1.0,"42,518.2","5,777.6",$51.63,21.5,1.9,7.0,31.2,2.6,0.3,0.2,1.0
8,7,(1) Ginkgo (Ginkgo biloba)  at 25.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,566.1",$59.68,"2,447.5",$281.14,52.4,$660.93,1.5,"55,442.5","7,533.9",$67.32,24.4,1.9,7.7,31.2,3.0,0.3,0.2,1.0
9,8,(1) Ginkgo (Ginkgo biloba)  at 28.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,955.3",$68.73,"2,447.5",$281.14,52.4,$660.93,1.9,"61,816.4","8,400.0",$75.06,25.2,1.9,7.8,31.2,3.2,0.3,0.2,1.0
10,9,(1) Ginkgo (Ginkgo biloba)  at 15.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"1,834.1",$42.65,"2,447.5",$281.14,52.4,$660.93,0.7,"34,002.4","4,620.5",$41.29,18.2,1.9,6.0,31.2,2.2,0.3,0.2,0.9
11,10,(1) Ginkgo (Ginkgo biloba)  at 45.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"7,194.9",$167.33,"2,546.3",$292.48,52.4,$660.93,5.8,"103,866.0","14,114.0",$126.12,24.7,1.9,6.7,31.5,3.3,0.3,0.2,0.5
2,1,(1) Ginkgo (Ginkgo biloba)  at 41.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"6,304.7",$146.63,"2,546.3",$292.48,52.4,$660.93,4.7,"100,652.0","13,677.2",$122.22,25.1,1.9,6.9,31.5,3.4,0.3,0.2,0.5
3,2,(1) Ginkgo (Ginkgo biloba)  at 12.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"1,074.2",$24.98,"2,337.8",$268.54,52.4,$660.93,0.4,"18,987.0","2,580.1",$23.06,9.2,1.9,3.0,30.9,1.1,0.3,0.2,0.4
4,3,(1) Ginkgo (Ginkgo biloba)  at 22.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,285.9",$53.16,"2,447.5",$281.14,52.4,$660.93,1.2,"48,949.1","6,651.5",$59.44,23.2,1.9,7.5,31.2,2.9,0.3,0.2,1.1
5,4,(1) Ginkgo (Ginkgo biloba)  at 17.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"1,976.9",$45.98,"2,447.5",$281.14,52.4,$660.93,0.8,"38,327.8","5,208.2",$46.54,20.0,1.9,6.6,31.2,2.4,0.3,0.2,1.0
6,5,(1) Ginkgo (Ginkgo biloba)  at 18.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"1,498.3",$34.85,"2,337.8",$268.54,52.4,$660.93,0.8,"29,213.7","3,969.7",$35.47,14.2,1.9,4.6,30.9,1.7,0.3,0.2,0.7
7,6,(1) Ginkgo (Ginkgo biloba)  at 14.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"1,261.8",$29.35,"2,337.8",$268.54,52.4,$660.93,0.5,"22,479.5","3,054.7",$27.30,11.0,1.9,3.6,30.9,1.3,0.3,0.2,0.5
8,7,(1) Ginkgo (Ginkgo biloba)  at 11.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.3",$313.18,"1,405.8",$32.69,"2,447.2",$281.10,52.4,$660.93,0.4,"24,929.6","3,387.6",$30.27,13.7,1.9,4.5,31.2,1.7,0.3,0.2,0.7
9,8,(1) Ginkgo (Ginkgo biloba)  at 23.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,367.4",$55.06,"2,447.5",$281.14,52.4,$660.93,1.3,"51,113.9","6,945.7",$62.07,23.7,1.9,7.6,31.2,2.9,0.3,0.2,1.0
10,9,(1) Ginkgo (Ginkgo biloba)  at 32.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"3,562.0",$82.84,"2,447.5",$281.14,52.4,$660.93,2.6,"69,591.1","9,456.5",$84.50,25.6,1.9,7.7,31.2,3.3,0.3,0.2,0.9
11,10,(1) Ginkgo (Ginkgo biloba)  at 31.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"3,406.4",$79.22,"2,447.5",$281.14,52.4,$660.93,2.4,"67,756.0","9,207.1",$82.27,25.5,1.9,7.8,31.2,3.2,0.3,0.2,0.9
2,1,(1) Ginkgo (Ginkgo biloba)  at 10.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"12,134.7",$282.22,864.6,$20.11,"2,142.3",$246.08,47.5,$599.87,0.3,"15,593.2","2,118.9",$18.93,7.4,1.7,2.4,28.1,0.9,0.3,0.2,0.3
3,2,(1) Ginkgo (Ginkgo biloba)  at 35.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"4,043.0",$94.03,"2,447.5",$281.14,52.4,$660.93,3.1,"74,600.6","10,137.2",$90.59,25.7,1.9,7.6,31.2,3.3,0.3,0.2,0.8
4,3,(1) Ginkgo (Ginkgo biloba)  at 13.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"1,641.3",$38.17,"2,447.5",$281.14,52.4,$660.93,0.6,"29,492.1","4,007.6",$35.81,16.1,1.9,5.3,31.2,1.9,0.3,0.2,0.9
5,4,(1) Ginkgo (Ginkgo biloba)  at 24.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"1,805.0",$41.98,"2,337.8",$268.54,52.4,$660.93,1.3,"39,196.9","5,326.3",$47.60,18.0,1.9,5.7,30.9,2.2,0.3,0.2,0.8
6,5,(1) Ginkgo (Ginkgo biloba)  at 27.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,815.1",$65.47,"2,447.5",$281.14,52.4,$660.93,1.8,"59,721.7","8,115.4",$72.52,25.0,1.9,7.8,31.2,3.1,0.3,0.2,1.0
7,6,(1) Ginkgo (Ginkgo biloba)  at 45.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"5,791.4",$134.69,"2,447.5",$281.14,52.4,$660.93,5.5,"84,975.6","11,547.0",$103.18,25.4,1.9,7.3,31.2,3.3,0.3,0.2,0.7
8,7,(1) Ginkgo (Ginkgo biloba)  at 0.0 inch DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"2,421.9",$56.33,201.6,$4.69,415.9,$47.77,9.6,$120.53,0.0,"4,703.8",639.2,$5.71,2.1,0.3,0.7,5.6,0.3,0.1,0.0,0.1
9,8,(1) Ginkgo (Ginkgo biloba)  at 8.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"10,694.6",$248.72,"1,008.5",$23.45,"1,965.5",$225.77,41.5,$523.39,0.3,"18,336.0","2,491.6",$22.27,9.9,1.5,3.3,24.8,1.2,0.3,0.1,0.5
10,9,(1) Ginkgo (Ginkgo biloba)  at 26.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"2,684.7",$62.44,"2,447.5",$281.14,52.4,$660.93,1.7,"57,592.9","7,826.1",$69.93,24.7,1.9,7.8,31.2,3.1,0.3,0.2,1.0
11,10,(1) Ginkgo (Ginkgo biloba)  at 33.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"3,720.0",$86.52,"2,447.5",$281.14,52.4,$660.93,2.8,"71,346.0","9,695.0",$86.63,25.6,1.9,7.7,31.2,3.3,0.3,0.2,0.8
2,1,(1) Ginkgo (Ginkgo biloba)  at 0.0 inch DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"1,236.8",$28.76,99.5,$2.31,200.6,$23.05,4.9,$62.35,0.0,"2,661.0",361.6,$3.23,1.0,0.2,0.3,2.9,0.1,0.0,0.0,0.0
3,2,(1) Ginkgo (Ginkgo biloba)  at 30.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"2,385.6",$55.48,"2,337.8",$268.54,52.4,$660.93,2.0,"48,882.3","6,642.4",$59.36,20.5,1.9,6.4,30.9,2.6,0.3,0.2,0.8
4,3,(1) Ginkgo (Ginkgo biloba)  at 29.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"2,272.8",$52.86,"2,337.8",$268.54,52.4,$660.93,1.9,"47,349.5","6,434.2",$57.50,20.2,1.9,6.3,30.9,2.5,0.3,0.2,0.8
5,4,(1) Ginkgo (Ginkgo biloba)  at 16.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in poor condition and planted in full sun.,"13,344.7",$310.36,"1,404.7",$32.67,"2,337.8",$268.54,52.4,$660.93,0.6,"25,924.2","3,522.8",$31.48,12.7,1.9,4.1,30.9,1.6,0.3,0.2,0.6
6,5,(1) Ginkgo (Ginkgo biloba)  at 9.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"11,555.1",$268.74,"1,139.4",$26.50,"2,122.3",$243.78,44.8,$565.61,0.3,"20,475.5","2,782.3",$24.86,11.1,1.6,3.7,26.8,1.3,0.3,0.2,0.6
7,6,(1) Ginkgo (Ginkgo biloba)  at 34.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in fair condition and planted in full sun.,"13,466.6",$313.19,"3,880.4",$90.25,"2,447.5",$281.14,52.4,$660.93,2.9,"73,017.1","9,922.0",$88.66,25.7,1.9,7.7,31.2,3.3,0.3,0.2,0.8
8,7,(1) Ginkgo (Ginkgo biloba)  at 44.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"6,968.6",$162.07,"2,546.3",$292.48,52.4,$660.93,5.5,"103,268.9","14,032.8",$125.40,24.7,1.9,6.7,31.5,3.3,0.3,0.2,0.5
9,8,(1) Ginkgo (Ginkgo biloba)  at 50.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"8,363.4",$194.51,"2,546.3",$292.48,52.4,$660.93,7.4,"105,032.8","14,272.5",$127.54,24.5,1.9,6.6,31.5,3.3,0.3,0.2,0.5
10,9,(1) Ginkgo (Ginkgo biloba)  at 52.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"8,847.5",$205.77,"2,546.3",$292.48,52.4,$660.93,8.0,"105,045.2","14,274.2",$127.55,24.5,1.9,6.6,31.5,3.3,0.3,0.2,0.5
11,10,(1) Ginkgo (Ginkgo biloba)  at 55.0 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.,"13,576.2",$315.74,"9,591.1",$223.06,"2,546.3",$292.48,52.4,$660.93,9.1,"105,045.2","14,274.2",$127.55,24.5,1.9,6.6,31.5,3.3,0.3,0.2,0.5
